,Window_Velocity_Max,Mean_0,Mean_6,Mean_12,Mean_18,cgmTrend,FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,acc1,acc2,acc3,acc4,Entropy
114,57.0,170.66666666666666,227.83333333333334,270.5,290.0,50.0,3826.0,420.9563689573108,420.95636895731076,171.24925915838287,171.24925915838284,118.76066512923961,118.76066512923958,114.1867169619608,3.7,-0.25,-0.35,-1.05,3.3549875696248255
115,39.0,214.5,192.0,128.0,72.66666666666667,40.0,4240.0,1156.7622269847886,1156.7622269847886,253.8098516908416,253.80985169084155,118.64149015514964,118.64149015514963,103.30330213534963,0.5,-4.1,1.25,0.45,3.3549875696248255
116,61.0,184.33333333333334,182.5,162.83333333333334,142.33333333333334,50.0,3583.0,643.6404025097427,643.6404025097427,355.1977243938261,355.1977243938261,172.97370294133611,172.9737029413361,143.78806333734417,-1.85,-1.65,-0.25,0.0,3.2163581335128364
117,54.0,96.16666666666667,131.33333333333334,186.66666666666666,230.33333333333334,56.666666666666664,4301.0,388.1944496599351,388.1944496599351,123.6711169985607,123.6711169985607,57.864704821893845,57.864704821893845,49.869830559166736,0.65,0.7,0.25,0.0,2.9306768766483344
118,24.0,259.0,252.5,212.83333333333334,186.83333333333334,40.0,5642.0,1387.7453453772075,1387.7453453772075,374.8715638680175,374.8715638680175,109.2291384148855,109.22913841488537,68.41783393238926,-1.2,-1.25,-0.25,0.25,3.308777757587496
119,80.0,81.0,156.5,196.66666666666666,170.33333333333334,43.333333333333336,4460.0,384.40384027494395,384.4038402749439,117.04024122526988,117.04024122526988,78.2559901860554,78.2559901860554,77.96862354890581,5.45,-2.4,-0.8,-2.5,3.2163581335128364
121,82.0,144.33333333333334,172.66666666666666,112.83333333333333,115.16666666666667,66.66666666666666,5021.0,489.47076052043616,489.47076052043616,254.86887186508733,254.86887186508733,203.94981875925217,203.94981875925217,54.67033457505936,1.3,-6.3,2.2,0.9,3.135265111891204
122,108.0,285.3333333333333,300.5,295.0,261.0,33.33333333333333,4899.0,599.6226165689891,599.6226165689891,354.09781799848355,354.09781799848355,160.9066598265048,160.9066598265048,151.6931291871368,-3.35,-1.35,0.1,-0.5,3.245126340758014
123,27.0,82.5,69.66666666666667,59.666666666666664,62.666666666666664,70.0,7116.0,786.9871543747017,786.9871543747017,435.51948527900487,435.5194852790048,253.9081758720241,253.9081758720241,213.7685664451161,1.8,-0.35,0.15,1.35,3.089055299853874
124,-12.0,304.8333333333333,220.83333333333334,167.33333333333334,109.66666666666667,56.666666666666664,7534.0,662.3052482396112,662.3052482396112,491.87013541181227,491.87013541181227,403.5299462160199,403.5299462160198,130.76116788272125,-2.2,1.95,-0.7,0.6,3.401197381662155
125,80.0,278.3333333333333,265.1666666666667,224.5,208.5,53.333333333333336,2693.0,511.18723947690535,511.1872394769053,199.1256474005616,199.1256474005616,85.37198263258595,85.37198263258595,71.63333987544502,-0.85,-3.5,1.8,0.6,3.308777757587496
128,22.0,222.66666666666666,216.0,191.66666666666666,181.16666666666666,43.333333333333336,5407.0,431.24279576564595,431.2427957656459,236.92336038415445,236.92336038415445,210.03681729926885,210.03681729926885,94.57272334029511,1.65,-1.75,0.8,-0.15,3.042845487816544
129,23.0,130.5,144.33333333333334,141.16666666666666,141.0,36.666666666666664,6378.0,1077.55631351398,1077.5563135139798,531.5424494798372,531.5424494798372,345.1765245292888,345.17652452928877,235.66120403223073,-0.7,0.45,-1.1,0.95,2.9504258637418848
130,62.0,195.66666666666666,260.0,271.0,272.8333333333333,43.333333333333336,4856.0,312.97007366131584,312.97007366131584,307.4455114794195,307.4455114794195,257.4067346836672,257.4067346836672,103.10037753264734,2.4,-0.15,-2.3,0.15,2.8580062396672252
131,64.0,160.33333333333334,203.0,161.16666666666666,115.5,56.666666666666664,4526.0,500.10045837892176,500.10045837892176,97.5705676155309,97.5705676155309,56.496786673888415,56.4967866738884,39.945210312663775,3.35,-2.3,-2.7,1.6,3.245126340758014
132,16.0,128.0,125.33333333333333,102.83333333333333,84.16666666666667,33.33333333333333,6982.0,1450.983255126898,1450.9832551268978,477.6065563014589,477.6065563014589,319.3894101844013,319.3894101844013,276.7923817462004,0.5,-0.6,-0.95,1.5,3.0777286974008473
