,Date_Time,Diff
10934,2017-12-18 10:01:07,-3.9266666666666667
10899,2017-12-18 13:56:43,-8.20888888888889
10823,2017-12-18 22:09:15,-7.796388888888889
10743,2017-12-19 05:57:02,-3.238611111111111
10711,2017-12-19 09:11:21,-6.5525
10666,2017-12-19 15:44:30,-15.738055555555556
10473,2017-12-20 07:28:47,-4.209722222222223
10439,2017-12-20 11:41:22,-10.696666666666667
10329,2017-12-20 22:23:10,-11.787777777777778
10204,2017-12-21 10:10:26,-2.535
10185,2017-12-21 12:42:32,-28.790277777777778
9912,2017-12-22 17:29:57,-10.577222222222222
9809,2017-12-23 04:04:35,-4.4941666666666675
9763,2017-12-23 08:34:14,-6.385
9707,2017-12-23 14:57:20,-6.8180555555555555
9653,2017-12-23 21:46:25,-2.1022222222222227
9625,2017-12-23 23:52:33,-9.081111111111111
9554,2017-12-24 08:57:25,-4.475833333333334
9516,2017-12-24 13:25:58,-4.700555555555556
9474,2017-12-24 18:08:00,-13.96
9341,2017-12-25 08:05:36,-5.791111111111111
9290,2017-12-25 13:53:04,-2.785277777777778
9260,2017-12-25 16:40:11,-18.925555555555555
9035,2017-12-26 11:35:43,-4.508055555555556
8998,2017-12-26 16:06:12,-2.1905555555555556
8979,2017-12-26 18:17:38,-10.561388888888889
8864,2017-12-27 04:51:19,-4.515555555555556
8795,2017-12-27 09:22:15,-2.4366666666666665
8776,2017-12-27 11:48:27,-2.082777777777778
8768,2017-12-27 13:53:25,-3.705277777777778
8725,2017-12-27 17:35:44,-17.424722222222226
8576,2017-12-28 11:01:13,-4.040555555555556
8544,2017-12-28 15:03:39,-8.785277777777779
8478,2017-12-28 23:50:46,-3.466388888888889
8440,2017-12-29 03:18:45,-5.689444444444445
8397,2017-12-29 09:00:07,-2.3625
8366,2017-12-29 11:21:52,-2.0236111111111112
8335,2017-12-29 13:23:17,-20.803055555555556
8113,2017-12-30 10:11:28,-2.852777777777778
8079,2017-12-30 13:02:38,-5.766388888888889
8028,2017-12-30 18:48:37,-16.900000000000002
7848,2017-12-31 11:42:37,-4.169166666666667
7784,2017-12-31 15:52:46,-2.238888888888889
7759,2017-12-31 18:07:06,-18.41638888888889
7580,2018-01-01 12:32:05,-5.97
7528,2018-01-01 18:30:17,-228.4638888888889
7437,2018-01-11 06:58:07,-2.462222222222222
7424,2018-01-11 09:25:51,-6.606944444444444
7374,2018-01-11 16:02:16,-11.244166666666667
7254,2018-01-12 03:16:55,-6.635833333333333
7199,2018-01-12 09:55:04,-4.536111111111111
7170,2018-01-12 14:27:14,-6.1525
7119,2018-01-12 20:36:23,-17.167222222222225
6999,2018-01-13 13:46:25,-5.427777777777778
6954,2018-01-13 19:12:05,-13.347777777777777
6825,2018-01-14 08:32:57,-5.215277777777778
6779,2018-01-14 13:45:52,-6.605555555555555
6697,2018-01-14 20:22:12,-20.128055555555555
6480,2018-01-15 16:29:53,-13.505277777777778
6355,2018-01-16 06:00:12,-2.8744444444444444
6323,2018-01-16 08:52:40,-6.0505555555555555
6297,2018-01-16 14:55:42,-3.7530555555555556
6250,2018-01-16 18:40:53,-11.132222222222222
6136,2018-01-17 05:48:49,-4.051388888888889
6094,2018-01-17 09:51:54,-3.5530555555555554
6073,2018-01-17 13:25:05,-6.058333333333334
6030,2018-01-17 19:28:35,-4.508888888888889
5981,2018-01-17 23:59:07,-9.721666666666666
5881,2018-01-18 09:42:25,-4.745833333333334
5851,2018-01-18 14:27:10,-6.396388888888889
5803,2018-01-18 20:50:57,-11.30861111111111
5674,2018-01-19 08:09:28,-6.320555555555556
5618,2018-01-19 14:28:42,-15.834166666666667
5465,2018-01-20 06:18:45,-11.723888888888888
5313,2018-01-20 18:02:11,-15.674444444444445
5120,2018-01-21 09:42:39,-8.328611111111112
5037,2018-01-21 18:02:22,-15.694166666666666
4877,2018-01-22 09:44:01,-5.828888888888889
4837,2018-01-22 15:33:45,-14.796388888888888
4743,2018-01-23 06:21:32,-3.2680555555555557
4717,2018-01-23 09:37:37,-4.441666666666667
4682,2018-01-23 14:04:07,-5.743055555555555
4643,2018-01-23 19:48:42,-10.419444444444444
4551,2018-01-24 06:13:52,-4.148333333333333
4523,2018-01-24 10:22:46,-3.5994444444444444
4482,2018-01-24 13:58:44,-20.003333333333334
4271,2018-01-25 09:58:56,-6.775555555555556
4212,2018-01-25 16:45:28,-15.931111111111111
4075,2018-01-26 08:41:20,-9.746666666666666
3972,2018-01-26 18:26:08,-12.3225
3876,2018-01-27 06:45:29,-3.3030555555555554
3832,2018-01-27 10:03:40,-4.5697222222222225
3793,2018-01-27 14:37:51,-16.538333333333334
3610,2018-01-28 07:10:09,-3.1333333333333333
3573,2018-01-28 10:18:09,-5.931388888888889
3532,2018-01-28 16:14:02,-12.875
3406,2018-01-29 05:06:32,-4.0566666666666675
3385,2018-01-29 09:09:56,-2.9169444444444443
3350,2018-01-29 12:04:57,-2.8494444444444444
3325,2018-01-29 14:55:55,-2.8697222222222223
3283,2018-01-29 17:48:06,-2.8308333333333335
3261,2018-01-29 20:37:57,-12.534722222222221
3165,2018-01-30 09:10:02,-4.379722222222223
3105,2018-01-30 13:32:49,-5.059444444444445
3023,2018-01-30 18:36:23,-2.2236111111111114
2988,2018-01-30 20:49:48,-9.05
